力标赞城,[浦口] 江浦街道台南路10号(花莲路和荣庄路交汇...,2居/ 3居 － 72~102平米,在售,15000元/㎡,普通住宅,(94条评论)
电建洺悦府,[栖霞] 迈尧路611号(迈尧路与恒竞路交汇处),3居/ 4居 － 105~130平米,在售,25800元/㎡,普通住宅,(52条评论)
大华锦绣时代,[浦口] 沿江街道浦洲路与南浦路交叉处,3居 － 88~108平米,在售,,普通住宅,(29条评论)
三金鑫宁府,[浦口] 江淼路与珠泉西路交汇处,3居/ 4居/ 5居 － 103~152平米,在售,19599元/㎡,普通住宅,(22条评论)
梁台煦府,[江宁] 湖熟街道润湖大道398号,2居/ 3居/ 4居/ 5居以上 － 130~316平米,在售,22018元/㎡,联排,(52条评论)
弘阳禹洲时光春晓,[江宁] 淳化街道东月桥路与雁冲路交汇处,3居/ 4居 － 83~108平米,在售,21380元/㎡,普通住宅,(19条评论)
中骏融信雍景台,[江宁] 信诚大道与建设路的交汇处,3居 － 100平米,在售,25600元/㎡,商住楼,(17条评论)
江山汇悦山府,[鼓楼] 燕江路201号,2居/ 3居/ 4居 － 79~139平米,在售,11062元/㎡,普通住宅,(24条评论)
瑞安翠湖山,[江宁] 牛首大道121号(绕城高速以南),3居/ 4居/ 5居 － 238~440平米,在售,23700元/㎡,别墅,(49条评论)
亚泰梧桐世家,[六合] 沿江工业开发区润富路666号(中山科技园...,2居/ 3居,在售,21697元/㎡,普通住宅,(148条评论)
明发香山郡,[浦口] 大马山路6号(沿山大道与财八路交叉口),3居/ 4居 － 114~128平米,在售,33500元/㎡,普通住宅,(108条评论)
南京九间堂,[江宁] 康厚街10号,5居以上 － 661~1282平米,在售,480万元/套,别墅,(44条评论)
嘉誉山,[栖霞] 兴贤路19号,2居/ 3居 － 86~141平米,在售,11508元/㎡,普通住宅,(73条评论)
明发阅山悦府,[浦口] 江浦街道花卉大道与海都东路交汇处,3居/ 4居 － 101~161平米,在售,25098元/㎡,普通住宅,(56条评论)
高淳雅居乐花园,[高淳] 双高路与双湖南路交汇处(高淳体育中心东...,2居/ 3居/ 4居/ 5居 － 90~125平米,在售,2200万元/套,普通住宅,(124条评论)
明发云庭,[浦口] 江浦街道胡桥路9号(七里路与浦马路交汇...,2居/ 3居/ 5居 － 89平米,在售,,普通住宅,(217条评论)
银亿东城,[江宁] 汤山街道麒麟镇麒东路777号,2居/ 3居/ 4居 － 144~165平米,在售,40000元/㎡,普通住宅,(330条评论)
电建中储泛悦城市广场,[鼓楼] 小市新村小区与幕府南路交汇处,3居/ 4居 － 104~155平米,在售,29500元/㎡,普通住宅,(66条评论)
新城璞樾和山,[栖霞] 现状道路与煤干石山、国有土地交汇处,2居/ 4居 － 37~274平米,在售,35900元/㎡,普通住宅,(19条评论)
融创玉兰公馆,[栖霞] 燕子矶街道燕江路(规划)与钟燕路(规划)...,3居/ 4居,在售,,普通住宅,(48条评论)
万科金域东方,[江宁] 淳化街道漆阁寺路与五号路交汇处,3居/ 4居 － 88~128平米,在售,29878元/㎡,普通住宅,(31条评论)
万科金域国际,[江宁] 东山街道上元大街与天印大道交汇处,2居/ 3居 － 90~145平米,在售,50000元/㎡,普通住宅,(39条评论)
金地都会艺境,滁州市来安县汊河新区104国道与纬七路交...,2居/ 3居,在售,,普通住宅,(9条评论)
明发财富中心,[浦口] 浦口大道6号(临近东方万汇城),1居/ 2居/ 3居 － 38~77平米,在售,23889元/㎡,酒店写字楼,(12条评论)
